Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Cade Smith","CLE",6,1,1,74,0,75.1,12.305311811550412,2.0309737941393884,0.11946904671408168,0.30303030303030304,0.79022989,0.436363636,0.016949152,96.09155939826303,1.9115047474253068,2.497331961244542,1.4009927546261436,2.4126101284819432,2.6926159858703613,"Cade Smith",27867,671922
"Griffin Jax","MIN",5,5,10,72,0,71,12.042254815142437,1.90140865502249,0.5070423080059974,0.26875,0.77054795,0.52173913,0.076923076,97.09996285467791,2.0281692320239895,2.380353069292193,1.9411275339419682,2.3161196463997125,2.6004717350006104,"Griffin Jax",20253,643377
"Mason Miller","OAK",2,2,28,55,0,65,14.400001690204526,2.907692648983606,0.8307693282810303,0.2564102564102564,0.70564516,0.406504065,0.113207547,101.11999322755418,2.492307984843091,1.7763250263281847,2.1818642781048703,2.2147326747283302,2.33666729927063,"Mason Miller",31757,695243
"Ryan Helsley","STL",7,4,49,65,0,66.1,10.718593786697294,3.1206032543549087,0.4070352070897707,0.2919254658385093,0.78488372,0.368098159,0.044776119,99.82438497340425,2.0351760354488535,2.7306181467802455,2.412710876271701,3.351975720405567,2.2538928985595703,"Ryan Helsley",18138,664854
"Emmanuel Clase","CLE",4,2,47,74,0,74.1,7.991031116741125,1.210762290415322,0.2421524580830644,0.19473684210526315,0.85062241,0.57368421,0.04347826,,0.605381145207661,2.4544813801537,2.2247757746334336,2.810682301936149,2.242258071899414,"Emmanuel Clase",21032,661403
"Matt Strahm","PHI",6,2,3,66,0,62.2,11.345745831930468,1.5797873943194323,0.5744681433888844,0.23357664233576642,0.82278481,0.314285714,0.057142857,93.56609806459566,1.8670214660138744,2.483135638190294,2.2888201147789995,3.1479785280435646,2.053710460662842,"Matt Strahm",13799,621381
"Jeff Hoffman","PHI",3,3,10,68,0,66.1,12.075377810329863,2.1708544378121104,0.8140704141795414,0.2781456953642384,0.80204778,0.375796178,0.09375,96.85885847107438,2.1708544378121104,2.928357682004927,2.5182385225542343,2.801181328141988,2.0313034057617188,"Jeff Hoffman",17432,656546
"Kirby Yates","TEX",7,2,33,61,0,61.2,12.405406684401918,4.086486907802985,0.4378378829788912,0.16806722689075632,0.88114754,0.454545454,0.058823529,93.3921148838141,1.16756768794371,1.8576134852330684,2.5016148448774045,3.1196542932023377,1.8954391479492188,"Kirby Yates",9073,489446
"David Robertson","TEX",3,4,2,68,0,72,12.375001311302324,3.3750003576279064,0.6250000662273901,0.3,0.76923077,0.487804878,0.092592592,,3.0000003178914727,3.1665192535608204,2.6525908349472744,2.8838193863377555,1.8453360795974731,"David Robertson",8241,502085
"A.J. Puk","- - -",4,5,3,58,0,57.2,11.86127416097177,1.7167633654038086,0.6242775874195667,0.224,0.78125,0.385826771,0.075471698,96.26168870192308,1.7167633654038086,1.8597518495844638,2.0566529562105655,2.544568298818342,1.8414074182510376,"A.J. Puk",19343,640462
"Joe Jiménez","ATL",1,5,3,69,0,68.2,10.747573213579981,3.0145632184431657,0.26213593203853613,0.25903614457831325,0.72254335,0.419161676,0.028169014,94.636664388668,2.6213593203853613,2.569237803615505,2.336382660167764,3.521129259993768,1.8246062994003296,"Joe Jimenez",15761,641729
"Lucas Erceg","- - -",2,6,14,61,0,61.2,10.508109841524664,2.3351355203388144,0.43783791006352774,0.2948717948717949,0.67365269,0.465408805,0.061224489,98.84966603562286,3.356757310487046,3.1863028595214757,2.5340472415313657,3.103048609526815,1.674403429031372,"Lucas Erceg",19360,668674
"Ryan Walker","SFG",10,4,10,75,0,79,11.05063397860312,2.050633109431507,0.5696203081754185,0.25142857142857145,0.82352941,0.468926553,0.087719298,94.84207153320312,1.936709047796423,2.6319684173491362,2.5209100956909873,2.789068085571108,1.6720207929611206,"Ryan Walker",20423,676254
"Edwin Uceta","TBR",2,0,5,30,0,41.2,12.312001878662397,1.7280002636719152,0.4320000659179788,0.26373626373626374,0.83850932,0.34065934,0.051282051,94.21927806712964,1.5120002307129259,1.9353554360857144,1.7024795549010892,2.493719543858397,1.656965970993042,"Edwin Uceta",20539,670955
"Tanner Scott","- - -",9,6,22,72,0,72,10.500000834465093,4.500000357627897,0.3750000298023248,0.24705882352941178,0.79691517,0.5,0.0625,97.17322716346153,1.7500001390775155,2.9854005734123277,2.9164797584215782,3.3828187329641146,1.6380876302719116,"Tanner Scott",17586,656945
"Jeremiah Estrada","SDP",6,3,1,62,0,61,13.868855060925418,3.393443259588134,0.5901640451457624,0.2900763358778626,0.72390572,0.350746268,0.068965517,97.22673473324515,2.9508202257288123,2.5699237478468095,2.068118916490737,2.653307346946776,1.6306425333023071,"Jeremiah Estrada",22210,669093
"Hunter Gaddis","CLE",6,3,0,78,0,74.2,7.955358226688689,1.6875002299036612,0.48214292282961746,0.20526315789473684,0.81227437,0.381443298,0.044444444,95.49272792779126,1.5669644991962568,2.719621079918741,2.8182654451350713,3.94434715962253,1.6267188787460327,"Hunter Gaddis",25636,683769
"Raisel Iglesias","ATL",6,2,34,66,0,69.1,8.826923724462342,1.6875001237942713,0.5192308073213142,0.19883040935672514,0.7231405,0.444444444,0.058823529,95.70596655009025,1.9471155274549283,2.2856490516174386,2.647248970968481,3.380180346222837,1.5774812698364258,"Raisel Iglesias",17130,628452
"Robert Garcia","WSN",3,6,0,72,0,59.2,11.312852537270988,2.4134085412844777,0.6033521353211194,0.32903225806451614,0.57228916,0.467532467,0.08,94.6184765625,4.223464947247836,2.5169577258637332,2.378770046065,2.7743079346531694,1.5273667573928833,"Robert Garcia",23363,676395
"Cole Sands","MIN",9,1,4,62,0,71.1,10.72430097710101,1.5140189614730837,0.7570094807365418,0.2896174863387978,0.6851312,0.367021276,0.074074074,95.65833216028528,3.2803744165250146,3.3961273183401213,2.633769402956673,3.257218311809954,1.5190880298614502,"Cole Sands",21461,663485
"Justin Slaten","BOS",6,2,2,44,0,55.1,9.433735806911956,1.4638555562449587,0.6506024694422039,0.2847682119205298,0.70610687,0.5,0.088888888,96.57988937762605,2.9277111124899173,3.258495652181224,2.606238762936786,2.896125144040805,1.4673744440078735,"Justin Slaten",25648,686580
"Orion Kerkering","PHI",5,3,0,62,0,61,10.918034152426067,2.3606560329569874,0.29508200411962343,0.32,0.75842697,0.536912751,0.052631578,97.73660803144904,2.3606560329569874,3.1373137326789946,2.3468075446241743,2.8624849769313467,1.4593915939331055,"Orion Kerkering",31776,689147
"Keegan Akin","BAL",3,1,1,66,0,78.2,11.09746013842505,2.1737293054647004,1.0296612499569635,0.24731182795698925,0.70977918,0.37037037,0.097826086,93.92152652877698,3.317797360972438,2.4681040799559932,2.9885136363219247,3.2695065817620836,1.4354134798049927,"Keegan Akin",19362,669211
"Kenley Jansen","BOS",4,2,27,54,0,54.2,10.207317548022273,3.2926830800071847,0.658536616001437,0.2595419847328244,0.73033708,0.305970149,0.055555555,,3.2926830800071847,3.3310303665253325,3.001845624289436,4.042051866241064,1.4145267009735107,"Kenley Jansen",3096,445276
"Justin Martinez","ARI",5,6,8,64,0,72.2,11.27064377959978,4.458716220501012,0.24770645669450067,0.3220338983050847,0.7537155,0.588571428,0.064516129,100.63514655363475,2.4770645669450064,3.093809841432485,2.588498046002627,2.8757310301507397,1.3910722732543945,"Justin Martinez",24453,679885
"Calvin Faucher","MIA",2,3,6,53,0,53.2,10.565218642953747,4.360248963758689,0,0.34507042253521125,0.6835443,0.464285714,0,96.16922729863222,3.186335781208273,3.7041796736639094,2.495672245403843,3.7635055312544816,1.3354021310806274,"Calvin Faucher",20116,676534
"Declan Cronin","MIA",3,4,0,56,0,70.1,9.213271807859847,3.1990527110624467,0.12796210844249786,0.3645320197044335,0.61776062,0.576354679,0.020833333,93.99001593338816,4.350711687044928,3.6273799612429385,2.5835412842739713,3.4305993070637726,1.313233494758606,"Declan Cronin",25645,686539
"Jason Adam","- - -",7,2,4,74,0,73.2,9.895928455881702,2.8099549936454213,0.6108597812272656,0.20958083832335328,0.79032258,0.429411764,0.073529411,95.55576760165663,1.9547512999272498,3.2366074427081823,3.0307331602392917,3.5440803306491606,1.2961198687553406,"Jason Adam",11861,592094
"Kevin Ginkel","ARI",8,3,5,72,0,70,9.90000215802921,1.9285718489667292,0.7714287395866917,0.33157894736842103,0.71246819,0.438144329,0.086956521,96.1226097020934,3.2142864149445485,3.234488756348698,2.852193995495217,3.2283166493307176,1.2588701248168945,"Kevin Ginkel",19876,656464
"Nick Martinez","CIN",5,2,0,26,0,53.1,7.762500740289759,1.0125000965595337,0.6750000643730225,0.24324324324324326,0.84158416,0.427631578,0.066666666,92.74185505319149,1.856250177025812,2.5224304598179157,2.753979738950726,3.47998926518799,1.2348487377166748,"Nick Martinez",12730,607259
"Jhoan Duran","MIN",6,9,23,58,0,54.1,10.932516360840252,2.4846628092818754,0.6625767491418334,0.32116788321167883,0.61514196,0.608695652,0.137931034,100.42614032033426,3.644172120280084,2.816137326162552,2.8535963134172624,2.7035639763129105,1.193232536315918,"Jhoan Duran",21029,661395
"Clay Holmes","NYY",3,5,30,67,0,63,9.714287478907899,3.1428577137643203,0.5714286752298764,0.3218390804597701,0.70528967,0.649717514,0.117647058,97.45304870605469,3.1428577137643203,3.252546246439863,3.023622609482326,3.014230319070536,1.1604137420654297,"Clay Holmes",13649,605280
"Joe Mantiply","ARI",6,2,1,73,0,58,8.224141176476778,2.7931045505015475,0.15517247502786374,0.30303030303030304,0.63609467,0.5398773,0.019230769,89.42090561810662,3.8793118756965934,3.3178131668695285,2.494065719835719,3.6255219788101267,1.1600935459136963,"Joe Mantiply",14857,573009
"Will Vest","DET",3,4,2,69,0,70.1,8.06161370635949,2.303318201816997,0.38388636696949946,0.2871287128712871,0.75835476,0.485294117,0.053571428,96.27974390360983,2.815166691109663,3.907440115921077,2.8252474520946844,3.474619261951478,1.1541478633880615,"Will Vest",19769,676684
"Dennis Santana","- - -",3,1,3,62,0,71.2,8.665117970245674,2.6372098170312923,0.5023256794345319,0.2804232804232804,0.64136126,0.361256544,0.050632911,95.70514166845034,3.893024015617622,3.262653122309772,3.012991376240355,3.954135710038356,1.1523423865437508,"Dennis Santana",17878,642701
"Mark Leiter Jr.","- - -",4,5,0,60,0,58,13.344831096999359,3.4137940015579753,1.2413796369301728,0.34306569343065696,0.66860465,0.458333333,0.166666666,91.8655029296875,4.500001183871877,3.414261261580962,3.287169465213562,2.7453831761040255,1.1324023008346558,"Mark Leiter Jr.",15551,643410
"Carlos Estévez","- - -",4,5,26,54,0,55,8.181818465556004,1.9636364317334412,0.8181818465556004,0.22916666666666666,0.75,0.32885906,0.067567567,96.92242747758964,2.4545455396668014,3.225368687785824,3.2392070535391824,4.091727484202306,1.1321791857481003,"Carlos Estevez",14542,608032
"Derek Law","WSN",7,4,1,75,0,90,7.6000012885201835,2.4000004069011105,0.7000001186794906,0.2918287937743191,0.781893,0.484732824,0.09589041,95.47489627471751,2.6000004408095365,3.718464246647318,3.3220353602185706,3.5373311039891107,1.1202858686447144,"Derek Law",13133,571882
