Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024,"Adam Ottavino","NYM",58,152,3.13392857,27,2,0,14,13,2,12,0,3,45,0.198529411,0.278145695,0.257352941,0.2471364602347873,1247
2024,"Matt Moore","LAA",51,134,4.96551724,27,5,0,19,16,6,19,2,2,27,0.245454545,0.366412213,0.454545454,0.3552936042926108,1890
2024,"Clayton Kershaw","LAD",7,99,4.90909091,28,6,1,15,12,1,9,1,0,15,0.318181818,0.373737373,0.443181818,0.3501373055029888,2036
2024,"Lance Lynn","STL",23,243,2.63793103,53,10,0,23,17,7,14,0,2,59,0.235555555,0.285123966,0.373333333,0.2881055321575196,2520
2024,"Kenley Jansen","BOS",53,115,3.64044944,17,5,0,12,12,2,10,0,1,33,0.166666666,0.24347826,0.274509803,0.23304399355598118,3096
2024,"Max Scherzer","TEX",9,93,3.75,21,4,0,11,10,5,1,0,0,26,0.228260869,0.236559139,0.434782608,0.2853279491906525,3137
2024,"T.J. McFarland","OAK",57,118,6.83544304,27,5,0,22,20,3,14,5,2,14,0.272727272,0.364406779,0.414141414,0.3258064426152052,3237
2024,"Justin Wilson","CIN",52,115,5.12658228,27,6,0,16,15,4,9,1,1,26,0.259615384,0.32173913,0.432692307,0.32410036053573876,4301
2024,"Charlie Morton","ATL",30,320,4.44444444,80,18,1,44,40,14,16,0,1,63,0.26578073,0.303125,0.471760797,0.33140994012355807,4676
2024,"Jake Diekman","NYM",39,78,8.47058824,15,4,1,18,16,6,13,0,1,25,0.238095238,0.371794871,0.619047619,0.41168068463985735,5003
2024,"Jesse Chavez","ATL",44,148,3.89189189,34,8,0,21,16,8,5,0,1,36,0.242857142,0.27027027,0.471428571,0.3139803804255821,5448
2024,"Ryan Brasier","LAD",27,53,3.6,6,0,1,7,6,2,3,0,0,16,0.127659574,0.173076923,0.29787234,0.2000318169593811,5615
2024,"Huascar Brazoban","2 Tms",39,124,5.20481928,26,2,3,20,16,2,12,0,3,29,0.23853211,0.330645161,0.366972477,0.31097166672829657,6107
2024,"Albert Suarez","BAL",32,303,3.39013453,66,19,0,28,28,7,16,0,3,60,0.238267148,0.283333333,0.38267148,0.2887895013888677,6175
2024,"Jose Cisnero","LAA",15,41,0.87096774,6,0,0,3,1,1,3,0,2,8,0.176470588,0.275,0.264705882,0.24914852082729338,6399
2024,"Alex Cobb","CLE",3,32,1.03846154,6,1,1,3,1,0,2,0,0,7,0.2,0.25,0.3,0.2421705760061741,6562
2024,"Carlos Carrasco","CLE",21,218,5.08441558,57,14,2,30,29,10,10,0,5,40,0.285,0.331797235,0.525,0.36434779848371235,6632
2024,"Craig Kimbrel","BAL",54,114,3.50649351,21,5,1,12,10,1,14,0,3,34,0.221052631,0.333333333,0.326315789,0.29880794673635247,6655
2024,"Johnny Cueto","LAA",2,21,4.15384616,5,2,0,2,2,1,3,1,0,4,0.277777777,0.38095238,0.555555555,0.38500931262969973,6893
2024,"Chase Anderson","2 Tms",29,130,4.69565217,28,8,0,21,16,7,8,0,2,23,0.235294117,0.292307692,0.478991596,0.32921935274050784,6895
