Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,AB,H,2B,3B,BB,SO,OPS,NameASCII,PlayerId,MLBAMID
"Dalton Rushing","LAD",17,57,7,13,17,0,0.070175438,0.263157894,0.46,0.357142857,0.34,0.421052631,0.8,0.5153313592860573,0.4310028422962536,233.50826404633364,0.15605644276365638,9.100791610503647,-0.650390625,1.0454782539684042,50,17,2,0,4,15,1.221052631,"Dalton Rushing",31382,687221
"Ben Rice","NYY",33,134,12,30,27,2,0.171641791,0.23880597,0.416666667,0.378787878,0.342592592,0.45522388,0.759259259,0.5037551865433202,0.4595326799334902,223.61822761072645,-0.7730399901047349,18.893936118530522,-2.9643512964248657,2.098304487603998,108,37,9,0,23,32,1.214483139,"Ben Rice",29576,700250
"Mickey Moniak","COL",27,107,11,19,21,1,0.06542056,0.242990654,0.397959183,0.338709677,0.326530612,0.373831775,0.724489795,0.46509488887875994,0.35355099116530375,185.18172814041162,0.883547720964998,11.596636560271197,-2.2530072927474976,1.2998867067984663,98,32,6,0,7,26,1.09832157,"Mickey Moniak",19956,666160
"Yordan Alvarez","HOU",35,158,12,25,27,1,0.139240506,0.11392405,0.340909091,0.300970873,0.325757575,0.430379746,0.666666666,0.4595393126732425,0.5101947784423828,193.4011481231139,-0.2316101468168199,17.289417746479398,-3.9673070907592773,1.9190734207602604,132,43,9,0,22,18,1.097046412,"Yordan Alvarez",19556,670541
"Carlos Cortes","ATH",27,84,4,10,13,0,0.095238095,0.083333333,0.253333334,0.390625,0.386666666,0.452380952,0.64,0.47474261692592074,0.4284928484660823,200.23291367742436,0.18504064343869686,10.181355354153368,-1.9537441730499268,1.1366496303576334,75,29,5,1,8,7,1.092380952,"Carlos Cortes",21842,666126
"Ildemaro Vargas","ARI",26,108,6,19,21,0,0.037037037,0.101851851,0.274509804,0.388235294,0.382352941,0.405660377,0.656862745,0.46014355994620415,0.38293223111134655,194.5981924580614,0.33871710719540715,12.347281070366083,-0.9331466034054756,1.5136195943006265,102,39,6,2,4,11,1.062523122,"Ildemaro Vargas",13324,545121
"Aaron Judge","NYY",34,150,13,30,23,5,0.173333333,0.28,0.363636364,0.287878787,0.264462809,0.402684563,0.628099173,0.43887758336099636,0.4550235255234906,180.08615898728954,0.54654635861516,14.809156239610292,-1.0841284394264221,1.9314251298353615,121,32,5,0,26,42,1.030783736,"Aaron Judge",15640,592450
"Matt Olson","ATL",35,158,11,32,31,0,0.120253164,0.221518987,0.350364964,0.322580645,0.299270072,0.379746835,0.649635036,0.43345429117862994,0.39748536623441255,177.02660221416232,-0.036235466599464417,14.268581646170393,0.32070255279541016,1.9999784677780816,137,41,15,0,19,35,1.029381871,"Matt Olson",14344,621566
"Shea Langeliers","ATH",32,146,10,24,18,0,0.08219178,0.219178082,0.291044776,0.380434782,0.335820895,0.390410958,0.626865671,0.43825130914819654,0.4129447937011719,175.7476978800003,-0.3256032685749233,12.804633980447422,0.153103768825531,1.839130613869573,134,45,9,0,12,32,1.017276629,"Shea Langeliers",25816,669127
"Max Muncy","LAD",32,127,9,24,13,0,0.133858267,0.228346456,0.29090909,0.333333333,0.3,0.393700787,0.59090909,0.4251896299066998,0.4262878175765749,172.41319061480905,-0.2317971703596413,10.577709812724049,2.000489592552185,1.6941167868916067,110,33,5,0,17,29,0.984609877,"Max Muncy",13301,571970
