Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,H,ER,HR,BB,SO,WHIP,NameASCII,PlayerId,MLBAMID
"Cam Schlittler","NYY",4,1,0,7,7,41.2,10.584000645996133,1.2960000791015673,0.21600001318359455,0.24,0.74324324,0.46,0.028571428,97.8636092557252,1.512000092285162,2.407000529223659,1.5397156611328067,2.417498655751806,1.977671504020691,25,7,1,6,49,0.7440000454101591,"Cam Schlittler",32095,693645
"Tyler Glasnow","LAD",3,0,0,6,6,38.2,10.93965589192199,3.0258622679784226,0.9310345439933608,0.1875,0.79545455,0.452380952,0.121212121,95.60710366924157,2.560344995981742,2.415719027174075,3.0701295472778973,2.93413314222592,1.0553624629974365,19,11,4,13,47,0.8275862613274318,"Tyler Glasnow",14374,607192
"Shota Imanaga","CHC",3,2,0,7,7,41.1,9.362903513843891,2.1774194218241605,0.6532258265472481,0.21359223300970873,0.74675325,0.339622641,0.061224489,92.06690354012915,2.3951613640065768,2.842404054913551,2.736425424043891,3.472006210242351,1.2514235973358154,25,11,3,10,43,0.8467742195982847,"Shota Imanaga",33829,684007
"Drew Rasmussen","TBR",2,1,0,6,6,30.2,9.391304542527086,1.467391334769857,1.467391334769857,0.2,0.78947368,0.523809523,0.172413793,96.01427064324818,2.641304402585743,2.6101657273421335,3.669454900528849,2.889319220156975,0.5650814175605774,21,9,5,5,32,0.8478261045336952,"Drew Rasmussen",25385,656876
"Paul Skenes","PIT",4,2,0,7,7,34,10.323529411764707,1.8529411764705883,1.0588235294117647,0.2222222222222222,0.70866142,0.469879518,0.117647058,97.56404035115979,3.176470588235294,2.250418048118973,3.177127523983226,3.064124022424221,0.7730053067207336,22,12,4,7,39,0.8529411764705882,"Paul Skenes",33677,694973
"Shohei Ohtani","LAD",2,1,0,5,5,30,10.2,2.7,0,0.22972972972972974,0.85714286,0.534246575,0,98.06332140771028,0.6,2.2404374953571167,1.9810490926106772,3.208602920671304,1.3006136417388916,17,2,0,9,34,0.8666666666666667,"Shohei Ohtani",19755,660271
"Max Fried","NYY",4,1,0,8,8,52.2,7.348101620642825,2.5632912630149387,0.17088608420099594,0.22142857142857142,0.73529412,0.460431654,0.018867924,95.11134259259259,2.392405178813943,2.324628666084962,2.729994220119354,3.9085317063970813,1.6633111238479614,32,14,1,15,43,0.8924051063829788,"Max Fried",13743,608331
"Chris Sale","ATL",6,1,0,7,7,42,10.5,2.5714285714285716,1.0714285714285714,0.22340425531914893,0.91428571,0.464646464,0.128205128,95.37950897216797,2.142857142857143,2.8536503981954504,3.504858616420201,3.272475813151825,0.7615435719490051,26,10,5,12,49,0.9047619047619048,"Chris Sale",10603,519242
"Michael McGreevy","STL",2,2,0,7,7,39.1,5.49152560125854,1.8305085337528466,1.1440678335955292,0.20909090909090908,0.86206897,0.433628318,0.119047619,91.59348799542683,2.516949233910164,5.769533820781154,4.190088674331048,4.049982238924632,0.46349069476127625,28,11,5,8,24,0.9152542668764233,"Michael McGreevy",29869,700241
"Parker Messick","CLE",3,1,0,7,7,41.1,9.580645456026307,2.1774194218241605,0.8709677687296642,0.24742268041237114,0.83832335,0.49,0.114285714,93.85013289304123,2.3951613640065768,2.8637016818813827,3.0751351118832053,3.016448558710227,1.125878930091858,28,11,4,10,44,0.9193548669924234,"Parker Messick",31986,800048
"José Soriano","LAA",5,1,0,7,7,42.2,10.33593811606992,3.375000201165688,0.6328125377185665,0.22105263157894736,1,0.55670103,0.1,97.88294677734375,0.843750050291422,3.105392141859855,2.8899032439105206,2.971752808814283,1.1899893283843994,24,4,3,16,49,0.9375000558793578,"Jose Soriano",22100,667755
"Nolan McLean","NYM",1,2,0,7,7,39.1,11.669491902674396,2.516949233910164,0.45762713343821165,0.2727272727272727,0.65340909,0.455555555,0.071428571,96.8830006450688,2.9745763673483756,2.3326685767849225,2.1307665738590957,2.4780402639360593,1.448825478553772,26,13,2,11,51,0.9406779965118796,"Nolan McLean",33703,690997
"Tarik Skubal","DET",3,2,0,7,7,43.1,9.346154120405759,1.2461538827207677,0.41538462757358924,0.29464285714285715,0.71428571,0.459459459,0.0625,97.14186862244898,2.7000000792283303,3.181529770298678,2.155408037851547,2.6013710760308872,1.5565167665481567,35,13,2,6,45,0.94615387391762,"Tarik Skubal",22267,669373
"Ranger Suarez","BOS",2,2,0,7,7,39,7.384615384615385,2.3076923076923075,0.6923076923076923,0.23300970873786409,0.76219512,0.361904761,0.078947368,92.02410714285715,2.769230769230769,3.5141602472860054,3.275920887482472,3.6560109900358397,0.9732288122177124,27,12,3,10,32,0.9487179487179487,"Ranger Suarez",17277,624133
"Jacob deGrom","TEX",2,1,0,6,6,31.1,11.489362168387643,2.0106383794678377,1.1489362168387642,0.2638888888888889,0.94262295,0.315789473,0.1,97.3477271295363,2.0106383794678377,3.2103938559714855,2.9243114948920286,3.0729177943017447,0.9358479380607605,23,7,4,7,40,0.9574468473656369,"Jacob deGrom",10954,594798
"Kevin Gausman","TOR",2,2,0,7,7,40.2,8.852459569991037,1.7704919139982076,1.1065574462488796,0.24074074074074073,0.75,0.401785714,0.108695652,93.73221009036145,3.098360849496863,3.3674158359609287,3.3690272485271193,3.3728333169148823,0.9584507942199707,31,14,5,8,40,0.9590164534156957,"Kevin Gausman",14107,592332
"Emerson Hancock","SEA",2,1,0,7,7,41.2,9.936000606445349,1.2960000791015673,1.512000092285162,0.2755102040816326,0.93167702,0.466666666,0.175,95.18220819978633,2.5920001582031347,3.641696328498971,3.6997157929687523,2.8754676752816417,0.7054300308227539,34,12,7,6,46,0.9600000585937536,"Emerson Hancock",27470,676106
"Justin Wrobleski","LAD",5,0,0,5,5,32,3.65625,2.53125,0,0.21359223300970873,0.9375,0.427184466,0,93.78430989583333,0.5625,4.345857149351197,3.272715759277344,5.2202771211043,0.8200427293777466,22,2,0,9,13,0.96875,"Justin Wrobleski",31204,680736
"Clay Holmes","NYM",4,2,0,7,7,42.2,6.539062889758521,2.9531251760199773,0.6328125377185665,0.21008403361344538,0.90206186,0.581967213,0.09090909,94.82640075683594,1.687500100582844,3.8052766174175696,3.6633407900109907,3.8447815668533667,0.6912201642990112,28,8,3,14,31,0.9843750586733258,"Clay Holmes",13649,605280
"Nick Martinez","TBR",2,1,0,6,6,37,5.837837837837838,2.189189189189189,0.7297297297297297,0.22522522522522523,0.91463415,0.38938053,0.0625,93.22640588148585,1.7027027027027026,3.847457008135123,3.6342022457638303,4.417650803359779,0.7267134785652161,28,7,3,9,24,1,"Nick Martinez",12730,607259
"Jacob Misiorowski","MIL",2,2,0,7,7,38,13.973684210526315,3.5526315789473686,0.9473684210526315,0.2638888888888889,0.77540107,0.407894736,0.148148148,99.44331441815856,2.8421052631578947,2.9075904667482857,2.9898210224352386,2.627795314671178,1.0093411207199097,23,12,4,15,59,1,"Jacob Misiorowski",31623,694819
"Yoshinobu Yamamoto","LAD",2,2,0,6,6,37.2,7.646018215349465,2.150442623067037,0.9557522769186831,0.24752475247524752,0.77844311,0.417475728,0.097560975,95.6769366197183,2.8672568307560495,4.0402374202311435,3.6255918977366854,3.786815062312801,0.7460964918136597,29,12,4,9,32,1.0088496256363877,"Yoshinobu Yamamoto",33825,808967
"Keider Montero","DET",2,2,0,6,6,33.2,6.68316882166863,1.8712872700672165,0.8019802586002356,0.24489795918367346,0.67114094,0.33,0.056603773,94.58035888671876,3.475247787267688,3.135184897719525,3.4447454846848387,4.516120950172954,0.7765039205551147,27,13,3,7,25,1.009901066385482,"Keider Montero",22630,672456
"Erick Fedde","CHW",0,2,0,4,4,21.2,7.061538668751017,2.4923077654415353,1.661538510294357,0.2033898305084746,0.76086957,0.38095238,0.148148148,93.006298828125,3.7384616481623034,3.018153674101914,5.0861773546207605,4.451239940833839,0.10692146420478821,16,9,4,6,17,1.015384645179885,"Erick Fedde",17425,607200
"Gavin Williams","CLE",5,1,0,7,7,43.1,11.007692630700115,3.946153961949098,1.2461538827207677,0.20652173913043478,0.84699454,0.505154639,0.171428571,96.65829467773438,2.7000000792283303,3.8543255611383125,3.8861773194081692,3.2301993588548212,0.6186482310295105,25,13,6,19,53,1.015384645179885,"Gavin Williams",30122,668909
"Chase Burns","CIN",3,1,0,7,7,41,10.097560975609756,2.8536585365853657,1.0975609756097562,0.24742268041237114,0.91428571,0.48,0.131578947,98.31148976293103,2.1951219512195124,2.9821375286890826,3.4403986861066125,3.1678014665842062,1.0716992616653442,29,10,5,13,46,1.024390243902439,"Chase Burns",35333,695505
"Max Meyer","MIA",2,0,0,7,7,37,9.72972972972973,3.1621621621621623,0.4864864864864865,0.23958333333333334,0.7591623,0.443298969,0.057142857,95.1233984375,2.675675675675676,3.901387398871043,2.9855535971151816,3.622696548740606,0.9931941628456116,25,11,2,13,40,1.027027027027027,"Max Meyer",27474,676974
"Noah Schultz","CHW",2,1,0,4,4,21.1,8.43750050291422,5.062500301748532,0.421875025145711,0.17307692307692307,0.72815534,0.346153846,0.045454545,95.85454053217822,2.531250150874266,3.3827424070917935,3.5695907844230548,4.420886856534472,0.4575507342815399,10,6,1,12,20,1.0312500614672937,"Noah Schultz",32056,702273
"Brandon Woodruff","MIL",2,1,0,6,6,30,7.5,2.1,1.2,0.23809523809523808,0.71969697,0.298850574,0.085106382,92.29045024671052,3.6,3.088599553197145,4.01438242594401,4.500088704874118,0.4911055266857147,24,12,4,7,25,1.0333333333333334,"Brandon Woodruff",16162,605540
"Bryce Elder","ATL",3,1,0,7,7,43,7.534883720930233,2.7209302325581395,0.4186046511627907,0.25210084033613445,0.7918552,0.433333333,0.045454545,92.66771141258445,1.8837209302325582,2.984961227227879,3.124459945323855,3.969156772729962,1.008141279220581,32,9,2,13,36,1.0465116279069768,"Bryce Elder",27779,693821
"Mitch Keller","PIT",3,1,0,7,7,41,6.804878048780488,2.6341463414634148,0.21951219512195122,0.2542372881355932,0.72769953,0.398305084,0.025,93.67516637731481,2.8536585365853657,3.7738754617407952,2.9038133202529544,3.9686018696645418,1.1281136274337769,31,13,1,12,31,1.048780487804878,"Mitch Keller",17594,656605
"Robbie Ray","SFG",2,4,0,7,7,39.2,9.075630833962759,3.1764707918869655,1.5882353959434827,0.21875,0.90062112,0.277227722,0.122807017,93.70442311356707,2.9495800210378964,3.9282004696984227,4.483850298721861,4.225075601443052,0.21954168379306793,28,13,7,14,40,1.0588235972956552,"Robbie Ray",11486,592662
"Landen Roupp","SFG",5,2,0,7,7,39.2,9.756303146509966,3.6302523335851036,0.22689077084906897,0.25773195876288657,0.657277,0.53125,0.038461538,92.8443437056108,3.1764707918869655,2.6468926910324218,2.6687241319293094,3.269395132838658,1.0191220045089722,26,14,1,16,43,1.0588235972956552,"Landen Roupp",30076,694738
"Joe Ryan","MIN",2,3,0,8,8,38.2,9.310345439933608,2.327586359983402,0.6982759079950206,0.27450980392156865,0.56701031,0.35576923,0.058823529,93.26124971998208,3.7241381759734433,3.122718103104421,3.018405405944933,3.877978430250915,1.090207815170288,31,16,3,10,40,1.060344897325772,"Joe Ryan",21390,657746
"Janson Junk","MIA",2,2,0,6,6,33,5.7272727272727275,2.1818181818181817,0.5454545454545454,0.24752475247524752,0.69277108,0.494949494,0.057142857,94.55576963682432,3,3.559543147446179,3.4810490926106774,4.195421492917971,0.6742258071899414,27,11,2,8,21,1.0606060606060606,"Janson Junk",23301,676083
"Will Warren","NYY",4,0,0,7,7,37.2,10.991151184564856,1.9115045538373663,0.9557522769186831,0.3010752688172043,0.73446328,0.474226804,0.129032258,93.90611104249012,2.389380692296708,3.400707508107184,2.802582992612264,2.5877685398136387,1.013260006904602,32,10,4,8,46,1.0619469743540924,"Will Warren",30182,701542
"Bryan Woo","SEA",1,2,0,7,7,41,6.365853658536586,1.3170731707317074,1.3170731707317074,0.2601626016260163,0.61170213,0.310077519,0.089552238,95.86962009250902,4.609756097560975,4.076476928449666,4.220886490984661,4.633065847834437,0.49587783217430115,38,21,6,6,29,1.0731707317073171,"Bryan Woo",30279,693433
"Braxton Ashcraft","PIT",1,2,0,7,7,41.2,9.720000593261755,3.024000184570324,0.6480000395507837,0.27450980392156865,0.6937799,0.5,0.078947368,97.0185043492268,3.024000184570324,2.656065610647618,3.003715750488281,3.359480108192366,1.1077708005905151,31,14,3,14,45,1.0800000659179727,"Braxton Ashcraft",23793,677952
"Davis Martin","CHW",4,1,0,6,6,37,8.027027027027026,1.945945945945946,0.4864864864864865,0.30303030303030304,0.86734694,0.373737373,0.055555555,94.09130161830358,1.945945945945946,4.545463564978757,2.8774454890070738,3.5528697450418734,1.1485295295715332,32,8,2,8,33,1.0810810810810811,"Davis Martin",21448,663436
"Foster Griffin","WSN",3,1,0,7,7,39.2,7.487395438019275,3.1764707918869655,1.1344538542453448,0.22018348623853212,0.84210526,0.423423423,0.116279069,91.5888671875,2.2689077084906897,4.492315162676008,4.332589784822482,4.229368483632827,0.38656166195869446,29,10,5,14,33,1.0840336829455517,"Foster Griffin",16432,656492
"Jeffrey Springs","ATH",3,2,0,7,7,38.2,8.146552259941908,2.7931036319800824,1.3965518159900412,0.23300970873786409,0.75842697,0.361111111,0.117647058,91.51184404481133,3.9568968119717836,3.201466665102788,4.440819292601456,4.291771560914631,0.511529803276062,30,17,6,12,35,1.0862069679922544,"Jeffrey Springs",17677,605488
"Martín Pérez","ATL",2,1,0,4,4,21,5.142857142857143,4.285714285714286,0.42857142857142855,0.19672131147540983,0.84745763,0.433333333,0.05,90.72164481026786,2.142857142857143,4.641888372753716,4.338191949753535,5.068104581321989,0.1872827410697937,13,5,1,10,12,1.0952380952380953,"Martin Perez",6902,527048
"Steven Matz","TBR",4,1,0,7,7,37.1,6.7500002299036375,3.133928678169546,1.4464286206936365,0.21782178217821782,0.77380952,0.373831775,0.139534883,,3.8571429885163644,4.770531398559356,4.862001531951284,4.404114605158847,0.23622004687786102,28,16,6,13,28,1.0982143231192427,"Steven Matz",13361,571927
"Kyle Harrison","MIL",3,1,0,6,6,29.2,10.617977755642531,2.7303371371652227,0.6067415860367161,0.30985915492957744,0.87349398,0.38028169,0.083333333,94.77896278782895,2.1235955511285063,3.3699000968364246,2.8780528321499146,3.1475067137287644,0.8496477007865906,24,7,2,9,35,1.1123595744006463,"Kyle Harrison",27758,690986
