Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2026,"Max Scherzer","TOR",5,59,10.94594595,16,2,0,15,15,5,6,0,1,5,0.31372549,0.389830508,0.647058823,0.44166533421661897,3137
2026,"Nathan Eovaldi","TEX",7,112,5.10810811,31,3,0,16,14,8,7,0,1,21,0.298076923,0.348214285,0.557692307,0.39470906874963213,9132
2026,"Chris Sale","ATL",7,41,0,7,2,0,0,0,0,2,0,1,12,0.184210526,0.243902439,0.236842105,0.22504734411472227,10603
2026,"Jacob deGrom","TEX",6,85,2.34782609,11,2,0,6,6,3,6,1,0,25,0.139240506,0.2,0.278481012,0.21127947952066148,10954
2026,"Merrill Kelly","ARI",4,58,13.93548388,19,4,2,16,16,5,10,1,0,6,0.395833333,0.5,0.875,0.567279833450652,11156
2026,"Robbie Ray","SFG",6,36,0.9,5,0,0,1,1,0,2,0,0,10,0.151515151,0.194444444,0.151515151,0.16469825473096636,11486
2026,"Jameson Taillon","CHC",6,66,5.17021276,12,2,0,9,9,4,9,0,0,14,0.210526315,0.318181818,0.45614035,0.3432938104326075,11674
2026,"Taijuan Walker","PHI",4,66,11.07692308,21,4,0,16,16,5,7,0,0,9,0.362068965,0.424242424,0.689655172,0.4741375943024953,11836
2026,"Chris Bassitt","BAL",6,73,7.71428571,22,4,0,12,12,3,11,0,1,7,0.372881355,0.465753424,0.593220338,0.457767567405962,12304
2026,"Colin Rea","CHC",4,61,5.25,18,3,0,7,7,1,6,0,0,12,0.333333333,0.393442622,0.444444444,0.3737722791609217,12317
2026,"Seth Lugo","KCR",7,106,2.1038961,24,5,1,6,6,0,10,0,0,25,0.25,0.320754716,0.322916666,0.2956742768017751,12447
2026,"Adrian Houser","SFG",6,87,9.19148936,30,12,1,17,16,4,8,0,1,10,0.394736842,0.453488372,0.736842105,0.5048493618188903,12718
2026,"Nick Martinez","TBR",6,99,1.5,19,5,0,4,4,2,8,0,0,16,0.211111111,0.275510204,0.333333333,0.2759907671383449,12730
2026,"Sonny Gray","BOS",5,52,2.63414634,10,1,0,4,4,1,2,0,1,9,0.204081632,0.25,0.285714285,0.24487156249009645,12768
2026,"Steven Matz","TBR",6,43,3.85714286,7,1,0,5,5,1,2,0,0,7,0.175,0.209302325,0.275,0.21595502592796503,13361
2026,"Clay Holmes","NYM",7,93,1.92857143,16,5,0,5,5,2,8,0,0,15,0.19047619,0.258064516,0.321428571,0.26171253253054877,13649
2026,"Max Fried","NYY",7,48,1.28571429,7,2,0,2,2,0,2,0,0,10,0.155555555,0.1875,0.2,0.17682324225703874,13743
2026,"Michael Wacha","KCR",6,90,3.2238806,17,3,0,8,8,3,8,0,1,19,0.209876543,0.288888888,0.358024691,0.29336968925264145,14078
2026,"Kevin Gausman","TOR",7,90,2.82089552,17,6,0,7,7,1,6,0,0,20,0.204819277,0.258426966,0.313253012,0.25873300198758586,14107
2026,"Lance McCullers Jr.","HOU",6,74,7.78846154,16,4,1,17,15,3,8,0,1,21,0.246153846,0.337837837,0.476923076,0.3593613803386688,14120
2026,"Tyler Glasnow","LAD",6,94,2.91891892,12,3,1,8,8,2,11,1,0,27,0.146341463,0.244680851,0.280487804,0.23771242685215446,14374
2026,"Michael Lorenzen","COL",7,77,9.64285714,30,9,0,17,15,5,4,0,1,12,0.422535211,0.454545454,0.76056338,0.5183735164729032,14843
2026,"German Marquez","SDP",6,72,7.875,17,1,0,14,14,6,10,0,1,10,0.283333333,0.388888888,0.6,0.4248832025461727,15038
2026,"Luis Castillo","SEA",7,82,6.15789474,18,6,1,14,13,3,7,0,2,16,0.253521126,0.333333333,0.492957746,0.36027780506345963,15689
2026,"Zack Littell","WSN",5,62,10.21621622,20,1,0,17,14,9,5,0,0,4,0.350877192,0.403225806,0.842105263,0.5249220142441411,15823
2026,"Luis Severino","ATH",7,98,5.16176471,18,1,1,13,13,2,16,0,2,28,0.225,0.367346938,0.3375,0.33160071956868076,15890
2026,"Aaron Nola","PHI",6,71,7.24390244,21,3,1,11,11,3,11,0,0,11,0.355932203,0.450704225,0.593220338,0.4523087093527888,16149
2026,"Brandon Woodruff","MIL",6,68,2.07692308,11,3,0,5,4,2,5,1,0,15,0.177419354,0.235294117,0.322580645,0.24240122268449016,16162
2026,"Tyler Mahle","SFG",7,82,2.14285714,15,2,1,5,5,1,7,0,0,20,0.205479452,0.271604938,0.301369863,0.2609783278571235,16358
2026,"Reynaldo Lopez","ATL",5,54,3.97058824,12,4,0,5,5,1,10,0,0,11,0.272727272,0.407407407,0.431818181,0.3813556399610307,16400
2026,"Foster Griffin","WSN",7,55,2.7,8,3,0,4,4,2,5,0,2,13,0.166666666,0.272727272,0.354166666,0.2858172199942849,16432
2026,"Grant Holmes","ATL",7,87,3.98360656,17,1,0,10,9,4,10,0,0,15,0.22368421,0.310344827,0.394736842,0.3161138556469446,16944
2026,"Erick Fedde","CHW",4,44,3.85714286,6,2,0,5,5,0,3,0,1,7,0.153846153,0.227272727,0.205128205,0.20528125221079047,17425
2026,"Jack Flaherty","DET",7,78,4.69565217,14,1,1,9,8,3,18,0,1,14,0.25,0.434210526,0.464285714,0.404450303629825,17479
2026,"Mitch Keller","PIT",7,96,5.0625,24,7,0,12,12,1,7,0,1,14,0.275862068,0.333333333,0.390804597,0.3246828652918339,17594
2026,"Jeffrey Springs","ATH",7,40,5.90625,8,1,0,7,7,2,1,0,0,7,0.216216216,0.225,0.405405405,0.2663940489292145,17677
2026,"Peter Lambert","HOU",3,45,0,6,0,0,0,0,0,5,0,1,16,0.153846153,0.266666666,0.153846153,0.21545120345221624,17969
2026,"Logan Webb","SFG",7,115,4.97368421,32,5,1,15,14,3,10,0,2,21,0.310679611,0.382608695,0.466019417,0.37883993801863297,17995
2026,"Michael Soroka","ARI",6,81,4.86,24,6,0,9,9,1,6,0,3,19,0.333333333,0.407407407,0.458333333,0.38967633100203525,18383
2026,"Dylan Cease","TOR",7,87,3.15,18,4,0,9,7,0,10,0,1,28,0.24,0.333333333,0.293333333,0.2939443622512379,18525
2026,"Freddy Peralta","NYM",7,102,4.06849315,19,3,0,12,11,4,9,0,0,27,0.206521739,0.277227722,0.369565217,0.29061623788116003,18679
2026,"Sandy Alcantara","MIA",7,101,2.5890411,22,3,0,8,7,3,10,0,0,14,0.241758241,0.316831683,0.373626373,0.31280181903650267,18684
2026,"Zac Gallen","ARI",7,70,2.7,18,5,1,6,5,0,5,0,0,7,0.28125,0.328571428,0.390625,0.31979420951434545,19291
2026,"Dean Kremer","BAL",2,37,4.5,7,1,0,5,5,3,1,0,0,13,0.194444444,0.216216216,0.472222222,0.29535897035856506,19350
2026,"Walker Buehler","SDP",6,67,6.075,17,2,1,9,9,0,9,0,1,13,0.298245614,0.402985074,0.368421052,0.3570872794336347,19374
2026,"Aaron Civale","ATH",7,102,2.73913043,25,3,0,7,7,3,9,1,1,15,0.27173913,0.343137254,0.402173913,0.3329123872341496,19479
2026,"Dustin May","STL",7,104,5.08695652,34,5,1,13,13,3,9,0,2,14,0.369565217,0.432692307,0.54347826,0.4294593150799091,19716
2026,"Shohei Ohtani","LAD",5,67,1.03846154,9,4,0,4,2,0,4,0,1,15,0.15,0.212121212,0.216666666,0.20002132292949792,19755
2026,"Michael King","SDP",7,96,1.75324675,14,4,0,5,5,1,7,0,2,22,0.164705882,0.242105263,0.247058823,0.2289804596649973,19853
2026,"Chris Paddack","MIA",6,69,7.07142857,21,3,0,11,11,3,5,0,0,10,0.333333333,0.382352941,0.523809523,0.39926697752055,20099
2026,"Casey Mize","DET",6,74,1.32786885,9,1,0,3,3,0,6,0,0,22,0.134328358,0.202702702,0.149253731,0.17227475063220873,20492
2026,"Cristopher Sanchez","PHI",7,44,5.4,7,0,0,8,7,1,2,0,0,14,0.166666666,0.204545454,0.238095238,0.2024883356961337,20778
2026,"Bailey Ober","MIN",7,70,2.94545455,11,4,0,6,6,3,6,0,1,10,0.174603174,0.257142857,0.38095238,0.2849729188850948,21224
2026,"Joe Ryan","MIN",8,82,5.49152542,19,7,0,13,12,3,2,0,2,20,0.243589743,0.280487804,0.448717948,0.31958501731477135,21390
2026,"Davis Martin","CHW",6,87,2.28169014,18,7,0,6,6,2,6,0,0,17,0.222222222,0.275862068,0.382716049,0.29289145099705666,21448
2026,"Kris Bubic","KCR",7,39,2.7,6,0,1,3,3,1,3,0,1,11,0.171428571,0.256410256,0.314285714,0.2607653049322275,21455
2026,"Jake Irvin","WSN",7,106,4.875,18,5,0,14,13,3,14,0,2,27,0.2,0.320754716,0.355555555,0.31176159741743553,21504
2026,"Edward Cabrera","CHC",6,80,2.89285714,16,2,0,8,6,2,9,0,1,8,0.23880597,0.329113924,0.358208955,0.31211388412910174,21690
2026,"Cole Ragans","KCR",7,46,8.70967742,9,2,0,10,10,4,10,0,0,10,0.257142857,0.413043478,0.657142857,0.4490783849488134,21846
2026,"Jose Soriano","LAA",7,77,1.86206897,14,1,0,4,4,3,6,1,0,25,0.2,0.263157894,0.342857142,0.2677163545290629,22100
2026,"Logan Gilbert","SEA",7,93,4.28571429,21,7,0,10,10,2,7,0,2,26,0.253012048,0.322580645,0.409638554,0.3266266744623902,22250
2026,"Shane Baz","BAL",6,85,5.71153846,26,10,0,11,11,1,9,0,1,14,0.361111111,0.423529411,0.541666666,0.4178894190227284,22264
2026,"Taj Bradley","MIN",7,90,2.86363636,17,6,0,7,7,3,8,0,0,27,0.209876543,0.280898876,0.395061728,0.301051512193144,22543
2026,"Keider Montero","DET",6,75,3.72413793,15,1,1,8,8,2,3,0,0,14,0.208333333,0.24,0.333333333,0.2547415939966838,22630
2026,"Janson Junk","MIA",6,76,4.86,20,5,0,11,9,1,5,0,1,13,0.285714285,0.342105263,0.4,0.3340772249196705,23301
2026,"Joey Cantillo","CLE",7,38,0.84375,7,2,0,4,1,1,2,0,0,8,0.194444444,0.236842105,0.333333333,0.2542801436625029,23335
2026,"Braxton Ashcraft","PIT",7,89,2.61290323,16,4,1,8,6,2,10,0,1,29,0.207792207,0.306818181,0.363636363,0.304928409782323,23793
2026,"Brayan Bello","BOS",6,69,13.13513514,24,3,0,19,18,7,9,0,0,8,0.413793103,0.485294117,0.827586206,0.54986292562064,23920
2026,"Simeon Woods Richardson","MIN",7,80,7.26923077,22,4,0,16,14,3,7,0,1,12,0.305555555,0.375,0.486111111,0.38231071159243585,24494
2026,"Kyle Bradish","BAL",7,102,3.52173913,22,7,1,13,9,3,14,0,0,25,0.252873563,0.352941176,0.459770114,0.359284090645173,24586
2026,"Randy Vasquez","SDP",6,80,4.05,16,3,1,9,9,1,6,0,0,23,0.219178082,0.275,0.328767123,0.2713798739016056,24719
2026,"Mike Burrows","HOU",7,91,9.45,28,4,0,21,21,6,9,0,0,15,0.341463414,0.406593406,0.609756097,0.44178646147906125,24728
2026,"Kyle Leahy","STL",6,74,6.45652174,26,3,1,11,11,4,7,0,0,11,0.388059701,0.445945945,0.641791044,0.47256651520729065,24763
2026,"Brady Singer","CIN",7,88,5.89090909,30,4,1,13,12,3,4,0,1,15,0.365853658,0.397727272,0.548780487,0.413603466342796,25377
2026,"Drew Rasmussen","TBR",6,87,3.09836066,18,2,0,9,7,4,5,0,0,24,0.222222222,0.264367816,0.395061728,0.2901250034913249,25385
2026,"George Kirby","SEA",7,93,1.90140845,17,3,0,5,5,1,10,0,1,16,0.207317073,0.301075268,0.280487804,0.27386129158799366,25436
2026,"Andre Pallante","STL",6,75,5.19230769,15,4,0,11,10,3,8,0,0,14,0.223880597,0.306666666,0.417910447,0.32313608169555663,26108
2026,"Ryne Nelson","ARI",7,72,4.95918367,15,4,1,12,9,4,6,1,0,12,0.227272727,0.291666666,0.5,0.3380521829699127,26253
2026,"Reid Detmers","LAA",7,45,3.17647059,6,1,0,4,4,1,2,0,3,13,0.15,0.244444444,0.25,0.23559405936135186,27468
2026,"Emerson Hancock","SEA",7,81,1.71428571,17,3,0,4,4,4,3,0,1,25,0.22077922,0.259259259,0.415584415,0.2967676851484511,27470
2026,"Cade Cavalli","WSN",7,80,6.75,27,5,0,13,12,1,5,0,3,23,0.38028169,0.4375,0.492957746,0.4148373655974865,27473
2026,"Max Meyer","MIA",7,80,2.32758621,13,4,1,6,5,1,7,0,1,23,0.180555555,0.2625,0.305555555,0.26033261194825175,27474
2026,"Slade Cecconi","CLE",7,86,6.05172414,20,1,0,13,13,3,8,0,2,19,0.27027027,0.348837209,0.405405405,0.33834149393924445,27500
2026,"Carmen Mlodzinski","PIT",6,73,7.53488372,24,6,1,13,12,1,4,0,1,18,0.363636363,0.402777777,0.53030303,0.4081158993972672,27572
2026,"Jack Kochanowicz","LAA",7,89,2.79310345,16,3,0,7,6,0,12,0,2,14,0.213333333,0.337078651,0.253333333,0.2870435239223952,27688
2026,"Eury Perez","MIA",7,92,3.15,20,6,0,8,7,2,12,0,0,25,0.253164556,0.347826086,0.405063291,0.3386789119761923,27768
2026,"Bryce Elder","ATL",7,111,1.56976744,14,2,1,5,5,2,13,0,1,23,0.144329896,0.252252252,0.24742268,0.23783291191668124,27779
2026,"J.T. Ginn","ATH",5,67,4.29545454,13,4,0,7,7,3,10,0,1,11,0.232142857,0.358208955,0.464285714,0.3669477549951468,27889
2026,"Emmet Sheehan","LAD",6,78,8,21,8,0,16,16,6,5,0,0,22,0.287671232,0.333333333,0.643835616,0.4174159062214387,29839
2026,"Bubba Chandler","PIT",6,61,7.24390244,13,2,0,11,11,4,8,0,0,10,0.245283018,0.344262295,0.509433962,0.374622254098048,29868
2026,"Michael McGreevy","STL",7,105,2.27710843,21,4,0,7,7,3,5,0,0,13,0.21,0.247619047,0.34,0.26215936967304776,29869
2026,"Sean Burke","CHW",5,62,4.5,18,3,1,8,7,2,5,0,0,8,0.321428571,0.37704918,0.517857142,0.3931589449038271,29878
2026,"Spencer Arrighetti","HOU",4,67,1.31707317,11,3,0,2,2,0,12,0,3,17,0.211538461,0.388059701,0.269230769,0.32497387590693005,29921
2026,"Landen Roupp","SFG",7,92,4.02985075,15,4,0,11,10,1,11,0,1,23,0.189873417,0.296703296,0.278481012,0.2719615776460249,30076
2026,"Andrew Painter","PHI",5,70,3.85714286,21,3,0,7,7,2,1,0,0,14,0.308823529,0.314285714,0.44117647,0.33061213067599704,30091
2026,"Chad Patrick","MIL",4,43,1.6875,7,2,0,2,2,1,6,0,0,5,0.2,0.309523809,0.342857142,0.297495736962273,30113
2026,"Gavin Williams","CLE",7,103,2.96341463,14,2,1,10,9,4,9,0,1,33,0.150537634,0.233009708,0.322580645,0.251626576613454,30122
2026,"Tanner Bibee","CLE",7,84,4.18965517,17,2,0,9,9,5,10,0,0,20,0.229729729,0.321428571,0.459459459,0.34587636448088144,30134
2026,"Jack Leiter","TEX",7,93,4.71428571,23,3,0,12,11,4,9,0,1,21,0.277108433,0.354838709,0.457831325,0.36238822629374845,30146
2026,"Will Warren","NYY",7,77,2.79310345,15,1,0,7,6,3,5,0,0,25,0.208333333,0.259740259,0.347222222,0.27248488927816417,30182
2026,"Bryan Woo","SEA",7,90,4.56923077,19,5,0,13,11,4,4,0,1,14,0.228915662,0.266666666,0.433734939,0.3033844980928633,30279
2026,"Jacob Misiorowski","MIL",7,90,2.04545455,11,2,0,6,5,2,10,0,4,41,0.146666666,0.277777777,0.253333333,0.2563363081879086,31623
2026,"Kumar Rocker","TEX",6,70,5.17021276,17,2,1,9,9,2,8,0,0,15,0.278688524,0.357142857,0.44262295,0.35468054328645976,31843
2026,"Parker Messick","CLE",7,48,2.76923077,8,0,0,4,4,1,3,0,1,11,0.181818181,0.25,0.25,0.23457429185509682,31986
2026,"Cam Schlittler","NYY",7,90,1.95652174,18,5,1,7,5,0,3,0,0,28,0.206896551,0.233333333,0.287356321,0.23299452132648893,32095
2026,"Connelly Early","BOS",7,38,2.7,6,0,0,3,3,2,2,0,1,8,0.176470588,0.236842105,0.352941176,0.2610903209761569,33666
2026,"Paul Skenes","PIT",7,81,3.0483871,14,1,1,8,7,2,5,0,0,23,0.189189189,0.240506329,0.31081081,0.24834300521053845,33677
2026,"Nolan McLean","NYM",7,89,2.01492537,14,3,0,7,5,1,9,0,0,25,0.175,0.258426966,0.25,0.23948091134596405,33703
2026,"Yoshinobu Yamamoto","LAD",6,85,3.375,17,3,0,8,8,3,7,0,1,17,0.22077922,0.294117647,0.376623376,0.3022968018756193,33825
2026,"Shota Imanaga","CHC",7,51,2.91891892,9,3,0,4,4,1,5,0,0,20,0.195652173,0.274509803,0.326086956,0.2738936508403105,33829
2026,"Brandon Sproat","MIL",4,46,8.70967742,10,2,0,10,10,4,7,0,0,12,0.263157894,0.377777777,0.631578947,0.43191297716564603,33850
2026,"Rhett Lowder","CIN",7,91,4.05,19,5,1,9,9,1,12,0,0,14,0.240506329,0.34065934,0.367088607,0.3232927636785822,33876
