Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2026,"Martin Perez","ATL",4,64,2.87234042,8,2,1,5,5,1,10,0,0,10,0.153846153,0.285714285,0.288461538,0.2689699521140447,6902
2026,"Nathan Eovaldi","TEX",7,61,4.2,12,1,0,7,7,1,3,0,1,18,0.214285714,0.262295081,0.285714285,0.2499440146274254,9132
2026,"Patrick Corbin","TOR",5,84,4.73684211,20,2,0,10,10,3,7,0,3,12,0.277777777,0.357142857,0.430555555,0.3512539217869441,9323
2026,"Chris Sale","ATL",7,123,2.87234043,19,1,0,10,10,5,10,0,3,37,0.172727272,0.260162601,0.318181818,0.26585797953411816,10603
2026,"Jose Quintana","COL",5,80,3.31578947,17,4,0,9,7,2,8,0,0,7,0.25,0.316455696,0.397058823,0.31475058311148535,11423
2026,"Robbie Ray","SFG",7,121,3.64044944,23,6,0,12,12,7,12,0,0,30,0.211009174,0.289256198,0.458715596,0.32844577446456785,11486
2026,"Jameson Taillon","CHC",6,75,3.78947368,15,3,0,9,8,5,4,1,1,17,0.214285714,0.266666666,0.471428571,0.3163255751132965,11674
2026,"Chris Bassitt","BAL",6,62,3.21428571,16,0,0,6,5,0,3,0,2,10,0.280701754,0.338709677,0.280701754,0.2910442054271698,12304
2026,"Seth Lugo","KCR",7,68,3.5,16,6,0,8,7,1,3,0,0,12,0.25,0.279411764,0.390625,0.294124936356264,12447
2026,"Adrian Houser","SFG",6,56,4.90909091,12,1,0,10,8,2,2,0,0,6,0.222222222,0.25,0.351851851,0.26739723873989923,12718
2026,"Nick Martinez","TBR",5,48,2.07692308,9,1,0,3,3,1,1,0,0,8,0.195652173,0.208333333,0.282608695,0.2163175418972969,12730
2026,"Eduardo Rodriguez","ARI",6,108,2.52,21,4,0,7,7,3,13,0,0,15,0.221052631,0.314814814,0.357894736,0.3073248592791734,13164
2026,"Steven Matz","TBR",7,106,3.85714286,21,3,1,11,11,5,11,0,1,21,0.223404255,0.311320754,0.436170212,0.3321094670385685,13361
2026,"Clay Holmes","NYM",7,75,1.39655172,12,0,0,3,3,1,6,0,1,16,0.176470588,0.253333333,0.220588235,0.22658849557240804,13649
2026,"Max Fried","NYY",8,153,2.79310345,25,5,0,12,12,1,13,0,2,33,0.182481751,0.263157894,0.240875912,0.23885983542392128,13743
2026,"Michael Wacha","KCR",6,58,3,11,5,0,5,5,1,6,0,0,14,0.215686274,0.298245614,0.372549019,0.30236839516121045,14078
2026,"Kevin Gausman","TOR",7,71,3.43636364,14,1,0,8,7,4,2,0,0,20,0.20289855,0.225352112,0.391304347,0.26943274367023523,14107
2026,"Lance McCullers Jr.","HOU",6,59,4.5,11,4,0,7,7,1,9,0,1,12,0.224489795,0.355932203,0.367346938,0.3342707844103797,14120
2026,"Tyler Glasnow","LAD",6,50,1.92857143,7,2,0,3,3,2,2,0,0,20,0.145833333,0.18,0.3125,0.2167555058002472,14374
2026,"Michael Lorenzen","COL",7,83,3.78947368,21,3,0,11,8,1,5,0,1,12,0.272727272,0.325301204,0.35064935,0.3077026540974537,14843
2026,"German Marquez","SDP",6,56,3.29268293,14,4,0,5,5,2,2,0,0,9,0.259259259,0.285714285,0.444444444,0.31980719949517933,15038
2026,"Matthew Boyd","CHC",5,81,5.4,22,7,0,12,11,2,5,0,0,24,0.289473684,0.333333333,0.460526315,0.3504191592887596,15440
2026,"Luis Castillo","SEA",7,78,6.45652174,26,3,0,14,11,1,6,0,1,15,0.366197183,0.423076923,0.450704225,0.3943642767576071,15689
