Season,Name,Tm,G,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId,MLBAMID,playerNameASCII
2026,"Max Scherzer","TOR",14,38,6.15789474,177,40,6,0,26,26,8,21,0,2,23,0.263157894,0.357954545,0.460526315,0.35935267027128825,3137,453286,"Max Scherzer"
2026,"Martín Pérez","ATL",23,33,4.09090909,142,35,3,1,17,15,5,8,0,3,27,0.267175572,0.323943661,0.419847328,0.3278628793400778,6902,527048,"Martin Perez"
2026,"Nathan Eovaldi","TEX",22,72.2,4.21100917,307,76,19,0,37,34,12,17,0,1,68,0.264808362,0.307189542,0.456445993,0.3308670746734719,9132,543135,"Nathan Eovaldi"
2026,"Miles Mikolas","WSN",11,30,7.2,137,41,7,0,26,24,8,7,0,0,20,0.317829457,0.350364963,0.558139534,0.38885145944400423,9803,571945,"Miles Mikolas"
2026,"Zack Wheeler","PHI",24,76.2,3.28695652,320,65,12,0,29,28,13,31,0,3,90,0.228070175,0.309375,0.407017543,0.3163945883512497,10310,554430,"Zack Wheeler"
2026,"Chris Sale","ATL",25,37,1.7027027,153,34,9,1,9,7,1,5,0,4,49,0.237762237,0.282894736,0.335664335,0.2755899425399931,10603,519242,"Chris Sale"
2026,"Jacob deGrom","TEX",27,86.1,4.27413127,344,68,14,1,41,41,12,22,3,0,103,0.211838006,0.261627906,0.373831775,0.27459921427835815,10954,594798,"Jacob deGrom"
2026,"Merrill Kelly","ARI",26,86.1,6.15057915,388,92,17,3,60,59,18,46,2,2,50,0.272997032,0.3626943,0.501483679,0.37346320661405724,11156,518876,"Merrill Kelly"
2026,"Robbie Ray","2 Tms",26,36.1,3.46788991,158,39,5,1,16,14,1,17,0,0,30,0.284671532,0.358974358,0.357664233,0.322549948707605,11486,592662,"Robbie Ray"
2026,"Jameson Taillon","2 Tms",18,43.1,6.43846154,193,42,7,0,31,31,14,24,0,0,36,0.24852071,0.341968911,0.538461538,0.37821266070548737,11674,592791,"Jameson Taillon"
2026,"Chris Bassitt","BAL",15,42.1,6.59055118,206,60,10,0,31,31,8,24,0,3,27,0.33898305,0.422330097,0.531073446,0.41438304307391344,12304,605135,"Chris Bassitt"
2026,"Colin Rea","CHC",19,58.2,3.68181818,265,67,11,1,26,24,4,26,0,3,50,0.287553648,0.363636363,0.394849785,0.3387464720642928,12317,607067,"Colin Rea"
2026,"Seth Lugo","KCR",29,98,5.14285714,433,117,29,4,60,56,10,36,0,5,77,0.303108808,0.366589327,0.476683937,0.36694480191803863,12447,607625,"Seth Lugo"
2026,"Adrian Houser","SFG",16,40.1,6.47107438,205,58,19,1,30,29,9,22,0,4,39,0.327683615,0.411764705,0.598870056,0.43198562428063036,12718,605288,"Adrian Houser"
2026,"Nick Martinez","TBR",27,96.1,2.70934256,381,84,17,2,29,29,12,16,0,0,60,0.231404958,0.263157894,0.388429752,0.2831816171344958,12730,607259,"Nick Martinez"
2026,"Sonny Gray","BOS",26,99,2.54545455,398,83,23,0,28,28,10,28,0,4,94,0.228650137,0.288944723,0.374655647,0.2927468790480839,12768,543243,"Sonny Gray"
2026,"Gerrit Cole","NYY",19,67.1,3.47524752,270,52,10,1,26,26,11,16,0,0,75,0.205533596,0.252788104,0.383399209,0.27751666994343016,13125,543037,"Gerrit Cole"
2026,"Eduardo Rodriguez","ARI",29,51.1,3.50649351,210,50,8,1,22,20,4,13,0,0,39,0.25510204,0.301435406,0.367346938,0.29623339991820485,13164,593958,"Eduardo Rodriguez"
2026,"Clay Holmes","2 Tms",15,53.1,3.54375,213,41,9,0,21,21,3,17,0,1,37,0.211340206,0.276995305,0.304123711,0.26257340449122757,13649,605280,"Clay Holmes"
2026,"Max Fried","NYY",16,25,1.44,88,12,2,0,4,4,0,7,0,0,19,0.151898734,0.218390804,0.177215189,0.18753150756331696,13743,608331,"Max Fried"
2026,"Michael Wacha","KCR",28,103.2,2.34405145,420,84,18,2,29,27,8,27,1,3,91,0.215938303,0.271428571,0.334190231,0.26852408812552475,14078,608379,"Michael Wacha"
2026,"Kevin Gausman","2 Tms",29,91.2,3.82909091,389,89,16,2,39,39,9,30,1,0,87,0.252840909,0.308290155,0.386363636,0.30464205169058467,14107,592332,"Kevin Gausman"
2026,"Lance McCullers Jr.","HOU",8,23.1,7.71428572,103,23,6,1,22,20,5,13,0,1,30,0.258426966,0.3592233,0.516853932,0.3788403897609526,14120,621121,"Lance McCullers Jr."
2026,"Tyler Glasnow","LAD",10,36.2,3.43636364,141,20,4,1,14,14,2,14,1,0,41,0.161290322,0.241134751,0.258064516,0.2242642798594066,14374,607192,"Tyler Glasnow"
2026,"Michael Lorenzen","COL",25,59.1,7.88764045,311,95,18,5,58,52,14,35,0,2,44,0.354477611,0.424437299,0.615671641,0.4403185459195226,14843,547179,"Michael Lorenzen"
2026,"Germán Márquez","SDP",10,24,6.75,112,28,5,0,19,18,9,13,0,2,18,0.291666666,0.383928571,0.625,0.426465387323073,15038,608566,"German Marquez"
2026,"Drew Anderson","DET",8,24.2,1.82432432,98,18,3,0,6,5,3,10,0,0,23,0.204545454,0.285714285,0.34090909,0.2816722417364315,15130,623454,"Drew Anderson"
2026,"Matthew Boyd","CHC",17,28.1,2.85882353,114,22,0,1,9,9,1,12,0,1,22,0.217821782,0.307017543,0.267326732,0.26808993910488327,15440,571510,"Matthew Boyd"
2026,"Luis Castillo","2 Tms",23,65.1,5.92346939,301,79,15,3,46,43,16,23,2,4,50,0.292592592,0.355704697,0.548148148,0.3857074998117782,15689,622491,"Luis Castillo"
2026,"Zack Littell","WSN",14,34,7.67647059,161,45,4,1,32,29,15,15,0,1,16,0.3125,0.378881987,0.666666666,0.4401341358326977,15823,641793,"Zack Littell"
2026,"Sean Manaea","NYM",15,27,2.66666667,110,23,5,0,9,8,3,9,0,3,31,0.234693877,0.318181818,0.37755102,0.311710402098569,15873,640455,"Sean Manaea"
2026,"Luis Severino","ATH",12,33.2,4.81188119,152,37,5,2,18,18,4,18,0,2,37,0.28030303,0.375,0.439393939,0.36105439302168396,15890,622663,"Luis Severino"
2026,"Aaron Nola","PHI",29,94,4.69148936,408,91,15,1,51,49,19,44,2,1,93,0.253481894,0.333333333,0.459610027,0.34334618778064335,16149,605400,"Aaron Nola"
2026,"Brandon Woodruff","MIL",9,23.2,2.66197183,91,12,3,0,8,7,3,8,1,0,25,0.146341463,0.219780219,0.292682926,0.2240777273972829,16162,605540,"Brandon Woodruff"
2026,"Kyle Freeland","COL",23,36.1,4.70642202,154,39,10,0,20,19,3,5,0,3,32,0.270833333,0.305194805,0.402777777,0.30907563497493795,16256,607536,"Kyle Freeland"
