Season,Name,Tm,G,IP,ERA,TBF,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId,MLBAMID,playerNameASCII
2026,"Max Scherzer","TOR",14,24.2,5.83783784,95,18,3,0,16,16,5,6,0,0,25,0.202247191,0.252631578,0.404494382,0.28558589784722577,3137,453286,"Max Scherzer"
2026,"Martín Pérez","ATL",23,82.1,3.06072875,347,64,13,4,30,28,6,46,1,0,56,0.216949152,0.317919075,0.349152542,0.29860815086226533,6902,527048,"Martin Perez"
2026,"Nathan Eovaldi","TEX",22,60,4.2,248,52,2,2,28,28,12,15,0,6,69,0.231111111,0.295546558,0.417777777,0.3126434891330086,9132,543135,"Nathan Eovaldi"
2026,"Patrick Corbin","TOR",15,51,5.82352941,236,66,16,0,33,33,9,20,0,4,35,0.314285714,0.381355932,0.519047619,0.38995852864394753,9323,571578,"Patrick Corbin"
2026,"Miles Mikolas","WSN",11,23,9.7826087,108,33,8,0,26,25,8,8,0,1,10,0.340206185,0.388888888,0.670103092,0.4439754789626157,9803,571945,"Miles Mikolas"
2026,"Zack Wheeler","PHI",24,59.2,3.16759777,227,39,8,1,21,21,7,12,0,1,73,0.183098591,0.229074889,0.328638497,0.24506823685725881,10310,554430,"Zack Wheeler"
2026,"Chris Sale","ATL",25,113,2.2300885,448,88,11,0,31,28,8,24,0,9,135,0.21307506,0.270089285,0.297820823,0.2567835547296064,10603,519242,"Chris Sale"
2026,"Jacob deGrom","TEX",26,57,3.47368421,238,54,7,0,22,22,7,16,0,0,71,0.244343891,0.295358649,0.371040723,0.2952391422247585,10954,594798,"Jacob deGrom"
2026,"Merrill Kelly","ARI",26,61.1,3.52173913,253,61,9,1,26,24,9,18,0,1,49,0.267543859,0.317460317,0.434210526,0.32578999395408326,11156,518876,"Merrill Kelly"
2026,"Jose Quintana","COL",9,32.2,4.95918367,142,37,10,0,21,18,3,11,0,0,14,0.298387096,0.342857142,0.451612903,0.3415652688060488,11423,500779,"Jose Quintana"
2026,"Robbie Ray","2 Tms",27,108.2,3.56134969,457,85,17,0,49,43,19,58,0,1,89,0.216836734,0.315789473,0.405612244,0.3185684334552079,11486,592662,"Robbie Ray"
2026,"Jameson Taillon","2 Tms",18,42.2,4.8515625,177,43,4,0,24,23,13,8,1,2,40,0.257485029,0.299435028,0.514970059,0.3477129526436329,11674,592791,"Jameson Taillon"
2026,"Chris Bassitt","BAL",15,32.2,3.30612245,139,32,3,0,13,12,1,8,0,5,24,0.256,0.323741007,0.304,0.28775512528934066,12304,605135,"Chris Bassitt"
2026,"Colin Rea","CHC",19,42,5.57142857,171,34,5,0,26,26,11,11,0,3,25,0.216560509,0.280701754,0.458598726,0.3202266212095294,12317,607067,"Colin Rea"
2026,"Seth Lugo","KCR",28,61,4.86885246,252,61,14,1,37,33,8,15,0,2,42,0.265217391,0.310756972,0.439130434,0.3244268967810855,12447,607625,"Seth Lugo"
2026,"Adrian Houser","SFG",16,33.1,3.51,123,24,3,1,17,13,3,4,0,0,16,0.208695652,0.231404958,0.330434782,0.24348530099411642,12718,605288,"Adrian Houser"
2026,"Nick Martinez","TBR",26,63.2,3.53403141,262,68,12,0,25,25,7,8,0,3,35,0.274193548,0.302681992,0.407258064,0.30994295365965685,12730,607259,"Nick Martinez"
2026,"Sonny Gray","BOS",26,51.2,2.96129032,213,52,9,1,18,17,5,12,0,1,41,0.26,0.305164319,0.39,0.30636619989860786,12768,543243,"Sonny Gray"
2026,"Gerrit Cole","NYY",19,43.2,3.29770992,183,47,10,1,17,16,6,6,0,2,38,0.270114942,0.302197802,0.442528735,0.32349094453748767,13125,543037,"Gerrit Cole"
2026,"Eduardo Rodriguez","ARI",29,121.2,2.14520548,500,101,24,3,31,29,11,44,0,1,89,0.222958057,0.29317269,0.362030905,0.29151391971063423,13164,593958,"Eduardo Rodriguez"
2026,"Steven Matz","TBR",11,33.1,5.67,146,34,7,2,21,21,7,15,0,1,28,0.263565891,0.342465753,0.511627906,0.367180443789861,13361,571927,"Steven Matz"
2026,"Blake Snell","LAD",6,22.2,1.98529412,91,14,3,0,5,5,0,7,0,1,29,0.170731707,0.241758241,0.207317073,0.21095313213683747,13543,605483,"Blake Snell"
2026,"Clay Holmes","2 Tms",15,32.2,1.65306122,136,25,2,0,6,6,2,13,0,1,28,0.208333333,0.291044776,0.275,0.2621548220292846,13649,605280,"Clay Holmes"
2026,"Max Fried","NYY",17,70.2,3.18396226,280,54,9,1,25,25,3,22,0,2,68,0.213438735,0.279569892,0.292490118,0.25960272529219214,13743,608331,"Max Fried"
2026,"Michael Wacha","KCR",28,73,4.80821918,292,67,19,2,41,39,16,17,0,3,52,0.249070631,0.3,0.513011152,0.3473907487145786,14078,608379,"Michael Wacha"
2026,"Kevin Gausman","2 Tms",29,70.2,5.09433962,294,71,10,1,46,40,12,14,0,1,78,0.258181818,0.295532646,0.432727272,0.31635950992197515,14107,592332,"Kevin Gausman"
2026,"Tyler Glasnow","LAD",10,21,2.57142857,78,14,4,0,6,6,3,3,0,0,29,0.186666666,0.217948717,0.36,0.25033136132435924,14374,607192,"Tyler Glasnow"
2026,"Michael Lorenzen","COL",25,55.1,6.34337349,247,73,11,1,44,39,5,14,0,3,38,0.323008849,0.365853658,0.446902654,0.3558982821499429,14843,547179,"Michael Lorenzen"
2026,"Germán Márquez","SDP",10,20,3.15,86,20,5,0,7,7,3,6,0,0,15,0.25,0.302325581,0.425,0.3178406842919283,15038,608566,"German Marquez"
